Source:,http://hfrportal.moh.go.tz/index.php?r=facilities/BedCapacity,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Bed Capacity for operating facility As of 05-08-2021 16:19:42,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Facility Number,Facility Name,Latitude,Longitude,Common Name,Region,District,Council,Ward,Village/Street,Facility Type,Operating Status,Ownership,Date Opened,Official Phone Number,Available Bed
104176-3,Malilita,-4.110024,33.323895,Malilita Dispensary,Tabora Region,Nzega District,Nzega DC,Wela,Malilita,Dispensary,,Public,,262692308,
113342-0,Malimbe Community Based,,,,Mwanza Region,Nyamagana District,Nyamagana MC,Mkolani,,Level IA2 (Dispensary Laboratory),,Private,07-01-09,,
104178-9,Malindi,-4.63709,38.2907,Malindi,Tanga Region,Lushoto District,Lushoto DC,Malindi,Maringo,Dispensary,,Public,01-01-70,272660133,1
112072-4,Malindindo,-11.1046,34.84106,Malindindo,Ruvuma Region,Mbinga District,Mbinga DC,Kambarage,Malindindo,Dispensary,Foundation,Public,,,
104180-5,Malinyi,,,Malinyi,Morogoro Region,Ulanga District,Malinyi DC,Malinyi,Malinyi,Dispensary,,Public,,786707807,
114652-1,Malinyi,-8.93647,36.19492,Malinyi,Morogoro Region,Ulanga District,Malinyi DC,Malinyi,Misegese,District Hospital,,Public,01-01-70,,
113057-4,Malion,,,,Njombe Region,Njombe District,Njombe TC,Ramadhani,Ramadhani,Level IA2 (Dispensary Laboratory),,Private,08-08-16,,
104181-3,Malipula,-6.81731,37.64386,,Morogoro Region,Morogoro District,Morogoro MC,Mazimbu,Malipula,Dispensary,,Public,,,2
104182-1,Malita,-3.0835,33.87336,Malita,Simiyu Region,Maswa District,Maswa DC,Zanzui,Malita,Dispensary,,Public,10-12-75,,3
104183-9,Maliwa,-9.472713000000001,34.321966,Maliwa,Njombe Region,Makete District,Makete DC,Ipepo,Maliwa,Dispensary,,Public,,,1
109899-5,Malolo,-8.998499000000001,32.78919,Malolo,Songwe Region,Mbozi District,Mbozi DC,Msia,Malolo,Dispensary,Foundation,Public,,,
104184-7,Malolo,-7.28513,36.502664,,Dodoma Region,Mpwapwa District,Mpwapwa DC,Malolo,Malolo,Dispensary,,Public,,,1
104187-0,Malolo,-5.03094,32.76499,MALOLO,Tabora Region,Tabora District,Tabora MC,Malolo,Chang`ombe,Dispensary,,Public,,,1
112977-4,Malolo,-5.021021,32.783053,,Tabora Region,Tabora District,Tabora MC,Malolo,Usenge,Hospital at District Level,,Private,01-01-70,754808946,
104186-2,Malolo,-7.32305,36.54383,Malolo,Morogoro Region,Kilosa District,Kilosa DC,Malolo,Malolo A,Dispensary,,Public,07-01-03,,2
104185-4,Malolo,-10.3386,39.0681,malolo,Lindi Region,Ruangwa District,Ruangwa DC,Malolo,Malolo,Dispensary,,Public,12-11-87,,2
115187-7,Malolo,,,,Morogoro Region,Kilosa District,Kilosa DC,Malolo,Malolo B,Health Center,Foundation,Public,02-04-21,,
104188-8,Malolo Mission,-7.31773,36.55305,malolo mision,Morogoro Region,Kilosa District,Kilosa DC,Malolo,Malolo B,Dispensary,,Private,07-01-97,,
104189-6,Malolwa,-8.25299,31.8248,,Rukwa Region,Sumbawanga District,Sumbawanga DC,Sandulula,Malolwa,Dispensary,,Public,01-01-70,025-2802133,1
104190-4,Malongwe,-5.43572,33.6359,Malongwe,Tabora Region,Uyui District,Uyui DC,Kizengi,Malongwe,Dispensary,,Private,,,12
115168-7,Malongwe,,,,Rukwa Region,Nkasi District,Nkasi DC,Nkandasi,Malongwe,Dispensary,Foundation,Public,02-04-21,,
104191-2,Malonje,-8.070551,31.737426,Malonje,Rukwa Region,Sumbawanga District,Sumbawanga MC,Mollo,Malonje,Dispensary,,Public,03-04-14,,1
109922-5,Malonji,-9.135422999999999,32.847179,Malonji,Songwe Region,Mbozi District,Mbozi DC,Ihanda,Malonji,Dispensary,Foundation,Public,,,
111632-6,Malowa,-3.30979,37.64339,Malowa medical ci\linic,Kilimanjaro Region,Rombo District,Rombo DC,Mamsera,Chala,Dispensary,,Private,,744713896,
104192-0,Malowe,-9.002770999999999,33.288465,Malowe,Mbeya Region,Mbeya District,Mbeya DC,Bonde la Songwe,Malowe,Dispensary,,Public,,,1
104193-8,Maluga,-4.51454,34.51721,Maluga,Singida Region,Iramba District,Iramba DC,Kinampanda,Maluga,Dispensary,,Public,,,1
104194-6,Malula,-3.37826,37.01786,Malula,Arusha Region,Arumeru District,Meru DC,King'ori,Malula,Dispensary,,Public,07-01-11,,2
113230-7,Malunga,,,,Shinyanga Region,Kahama District,Kahama TC,Majengo,Majengo,Health Center,,Private,03-06-19,787550250,
104195-3,Malungo,-10.563167,39.672683,Malungo,Lindi Region,Lindi District,Lindi DC,Mandwanga,Malungo,Dispensary,,Public,,,1
115150-5,Malungu,,,Malungu,Ruvuma Region,Nyasa District,Nyasa DC,Tingi,Malungu,Dispensary,Foundation,Public,02-03-21,,
104197-9,Malwilo,,,,Simiyu Region,Meatu District,Meatu DC,Mwamishali,Malwilo,Dispensary,Foundation,Public,,,
104196-1,Malwilo,-3.68897,34.06392,MALWILO,Shinyanga Region,Kishapu District,Kishapu DC,Somagedi,Malwilo,Dispensary,,Public,01-01-70,785374414,1
115153-9,Malwilo Mnadani,-3.15818,34.32091,Malilwo Mnadani,Simiyu Region,Meatu District,Meatu DC,Tindabuligi,Malwilo Mnadani,Dispensary,,Public,02-01-21,,
104199-5,Malya,-2.97731,33.52379,MALYA,Mwanza Region,Kwimba District,Kwimba DC,Malya,Malya,Health Center,,Public,01-01-70,,11
104198-7,Malya,-2.98844,33.5252,Malya,Simiyu Region,Maswa District,Maswa DC,Nyabubinza,Mwanhegele,Dispensary,,Public,01-01-70,,
109427-5,Malya Chuo cha Michezo,-2.97806,33.52045,,Mwanza Region,Kwimba District,Kwimba DC,Malya,Malya,Dispensary,,Public,,,
114714-9,Malya Prison,Not Set,Not Set,Malya Prison,Simiyu Region,Maswa District,Maswa DC,Nyabubinza,,Dispensary,,Public,01-01-70,,2
110828-1,Mama,-2.637455,32.656274,,Mwanza Region,Sengerema District,Sengerema DC,Nyampulukano,Nyamazugo Road,Dispensary,,Private,01-03-21,,
112112-8,Mama Anitha,-6.875536,39.149025,mama Anitha dispensary,Dar es Salaam Region,Ilala District,Ilala MC,Gongo la Mboto,Ulongoni,Dispensary,,Private,02-07-18,754841360,4
114074-8,Mama Fatuma,-6.37159,38.58943,Mama Fatuma,Pwani Region,Bagamoyo District,Chalinze DC,Kiwangwa,Kiwangwa,Maternity and Nursing Home,,Private,05-03-19,2.55752E+11,1
109764-1,Mama Mtavira,-5.10062,34.43007,Mama Clinic Mtavira,Singida Region,Ikungi District,Ikungi DC,Minyughe,Mtavira,Maternity Home,,Private,01-11-12,,4
110620-2,Mama Ngoma,-6.77008,39.22719,Mama Ngoma,Dar es Salaam Region,Kinondoni District,Kinondoni MC,Kijitonyama,Mpakani A,Hospital at District Level,,Private,07-02-08,,28
111544-3,Mama Paulina,,,,Kilimanjaro Region,Mwanga District,Mwanga DC,Mwanga,,Dispensary,,Private,,,
111035-2,Mama Tura,-7.85451,36.89456,Mama Tura,Morogoro Region,Kilombero District,Ifakara TC,Mwaya,Mwaya,Dispensary,,Private,01-01-70,784506262,4
114342-9,Mamaye,-2.738183,33.106208,,Mwanza Region,Misungwi District,Misungwi DC,Mamaye,Mamaye,Dispensary,Foundation,Public,,,
109158-6,Mamba,-8.115653,33.259304,Mamba,Mbeya Region,Chunya District,Chunya DC,Mamba,Mamba,Dispensary,,Public,01-01-70,,
104203-5,Mamba,-7.31971,31.3666,Mamba HC,Katavi Region,Mlele District,Mpimbwe DC,Mamba,Mamba A,Health Center,,Public,01-01-70,,14
106037-5,Mamba myamba,-4.391202,37.992554,,Kilimanjaro Region,Same District,Same DC,Myamba,Goha,Dispensary,,Public,,,
104204-3,Mambali,-4.53858,32.6903,Mambali Dispensary,Tabora Region,Nzega District,Nzega DC,Mambali,Mambali,Dispensary,,Public,,262692308,
114443-5,Mambali,,,,Tabora Region,Nzega District,Nzega DC,Mambali,Mambali,Level IA2 (Dispensary Laboratory),,Private,,767866015,
113901-3,Mambamba,-10.72257,39.5086,Mambamba,Mtwara Region,Tandahimba District,Tandahimba DC,Mdumbwe,Mambamba,Dispensary,Foundation,Public,01-01-70,,
104206-8,Mambo,-4.51137,38.22781,Mambo,Tanga Region,Lushoto District,Lushoto DC,Sunga,Mambo,Dispensary,,Public,01-01-70,2.55273E+11,2
104208-4,Mamboya,-6.26667,37.1,,Morogoro Region,Kilosa District,Kilosa DC,Mamboya,Mamboya,Dispensary,,Public,07-01-39,,
104209-2,Mambwekenya,-8.86055,31.7707,Mambwekenya,Rukwa Region,Kalambo District,Kalambo DC,Mambwekenya,Mambwekenya,Dispensary,,Public,07-01-04,752692502,
104210-0,Mambwenkoswe,-8.92998,32.0218,Kalembe,Rukwa Region,Kalambo District,Kalambo DC,Mwembenkoswe,Kalembe,Dispensary,,Public,07-01-02,752692502,
120290-2,Mamed,-6.8926234,39.267137,,Dar es Salaam Region,Temeke District,Temeke MC,Mbagala,Kizinga,Comprehensive Dental Clinic,,Private,11-07-21,2.55719E+11,
114921-0,Mami,,,,Mwanza Region,Sengerema District,Sengerema DC,Kishinda,Mami,Dispensary,Foundation,Public,01-01-70,,
104211-8,Mamire,-4.1558,35.84129,Mamire,Manyara Region,Babati District,Babati DC,Mamire,Mamire,Health Center,,Public,07-01-72,,10
104212-6,Mamongolo,-9.574168,34.442728,Mamongolo dispensary,Njombe Region,Njombe District,Njombe TC,Makowo,Mamongolo,Dispensary,,Public,04-08-98,655982203,2
104213-4,Mampanta,-4.34786,34.3487,,Singida Region,Iramba District,Iramba DC,Kiomboi,Mampanta,Dispensary,,Public,,,1
113202-6,Mamtesha,,,,Tabora Region,Igunga District,Igunga DC,Igunga,,Level IA2 (Dispensary Laboratory),,Private,,,
111158-2,Managha,-4.263902,35.571519,Managha Dispen.,Manyara Region,Babati District,Babati DC,Arri,Managha,Dispensary,,Public,05-03-09,,1
104214-2,Manawa,-2.76567,33.41495,Manawa,Mwanza Region,Kwimba District,Kwimba DC,Nkalalo,Manawa,Dispensary,,Public,,,1
104215-9,Manayi,-3.24362,33.39012,Manayi,Mwanza Region,Kwimba District,Kwimba DC,Ilula,Manayi,Dispensary,,Public,,,2
104216-7,Manchali,-6.13941,36.1676,Manchali,Dodoma Region,Chamwino District,Chamwino DC,Manchali,Manchali A,Dispensary,,Public,08-05-70,,5
113958-3,Manchali B,,,Zahanati ya Manchali B,Dodoma Region,Chamwino District,Chamwino DC,Manchali,Manchali B,Dispensary,Foundation,Public,,,
104217-5,Manchimweru,-1.87143,34.287,,Mara Region,Bunda District,Bunda DC,Mihingo,Manchimweru,Dispensary,,Public,,,
109833-4,Manda,-6.775079,35.298047,Manda,Dodoma Region,Chamwino District,Chamwino DC,Manda,Manda,Dispensary,,Public,06-10-97,,2
113291-9,Manda,-5.030324,32.815478,ITOBELA,Tabora Region,Uyui District,Uyui DC,Ibelamilundi,Ibelamilundi,Dispensary,,Private,02-01-19,,8
104219-1,Manda,-10.4699,34.59054,Manda,Njombe Region,Ludewa District,Ludewa DC,Manda,,Health Center,,Public,,654127866,45
114155-5,Manda,-8.5227,32.74939,Manda Dispensary,Songwe Region,Songwe District,Songwe DC,Manda,Manda,Dispensary,Foundation,Public,,,
104221-7,Manda Juu RC,-3.24588,37.60297,Manda Juu RC Dispensary,Kilimanjaro Region,Rombo District,Rombo DC,Manda,Manda Juu,Dispensary,,Private,,,4
104222-5,Mandaka,-3.33157,37.51348,Mandaka dispensary,Kilimanjaro Region,Moshi District,Moshi DC,Kilema Kusini,Kilema masaera,Dispensary,,Public,07-01-75,272754957,6
108479-7,Mandaka Mnono,-3.405473,37.376211,,Kilimanjaro Region,Moshi District,Moshi DC,Old Moshi Magharibi,Mandaka mnono,Dispensary,,Public,,,
104223-3,Mandakerenge,-7.40565,30.583278,Mandakerenge,Rukwa Region,Nkasi District,Nkasi DC,Kipili,Mandakerenge,Dispensary,,Public,01-07-77,2830006,3
104224-1,Mandamazingara,-6.04939,38.522318,Mandamazingara Disp,Pwani Region,Bagamoyo District,Chalinze DC,Mkange,Mandamazingara,Dispensary,,Public,08-03-05,,2
104226-6,Mandawa,-9.906280000000001,39.1179,MANDAWA,Lindi Region,Ruangwa District,Ruangwa DC,Mandawa,Nahanga,Health Center,,Public,05-05-75,,14
104225-8,Mandawa,-9.379630000000001,39.438,,Lindi Region,Kilwa District,Kilwa DC,Mandawa,Mandawa,Dispensary,,Public,08-10-04,,
104227-4,Mandege,-6.35187,36.96866,Mandege,Morogoro Region,Gairo District,Gairo DC,Mandege,Ikwamba,Dispensary,,Public,01-01-70,,1
107071-3,Mandela,-2.10795,33.0855,Mandela,Mwanza Region,Ukerewe District,Ukerewe DC,Kagera,Uhindini,Dispensary,,Private,01-01-70,757388854,4
113115-0,Mandela,-4.81936,34.74944,,Singida Region,Singida District,Singida MC,Ipembe,Soko,Level IA2 (Dispensary Laboratory),,Private,07-01-12,,
110592-3,Mandela,-6.869036,39.281513,Mandela,Dar es Salaam Region,Temeke District,Temeke MC,Mtoni,Sabasaba,Dispensary,,Private,07-01-20,022-2856165/0713351870,4
104228-2,Mandela,-3.400079,36.798478,,Arusha Region,Arumeru District,Meru DC,Kikwe,Nambala,Dispensary,,Public,07-02-12,,4
104231-6,Mandepwendeligera,-10.99212,36.0489,Mtepwende ligera,Ruvuma Region,Namtumbo District,Namtumbo DC,Ligera,Matepwende,Dispensary,,Public,01-01-70,,1
104233-2,Mandera,-6.214632,38.407326,Mission,Pwani Region,Bagamoyo District,Chalinze DC,Mandera,Mandera,Dispensary,,Private,04-01-63,,3
104232-4,Mandera,-5.14581,38.371,,Tanga Region,Korogwe District,Korogwe DC,Mswaha,Maurui Rutuba,Dispensary,,Public,07-01-60,,1
104234-0,Mandera Kiva,-5.51588,38.15133,Mandera Kiva,Tanga Region,Handeni District,Handeni DC,Kiva,Zavuza,Dispensary,,Public,06-01-78,272641705,5
113298-4,Mandu,-7.54486,39.12772,,Pwani Region,Rufiji District,Kibiti DC,Mjawa,Jaribu Mpakani,Level IA2 (Dispensary Laboratory),,Private,,,
114699-2,Mandumba,-10.52122,39.18866,Mandumba Dispensary,Mtwara Region,Newala District,Newala TC,Namiyonga,Madunda,Dispensary,Foundation,Public,07-01-20,,
109784-9,Maneke,,,,Mara Region,Musoma District,Musoma DC,Busambara,Maneke,Dispensary,Foundation,Public,,,
104237-3,Maneromango,-7.20294,38.78455,Maneromango,Pwani Region,Kisarawe District,Kisarawe DC,Maneromango,Maneromango Kaskazini,Health Center,,Public,07-01-75,,16
104236-5,Maneromango KKKT,-7.19918,38.77823,Maneromango Mission,Pwani Region,Kisarawe District,Kisarawe DC,Maneromango,Maneromango,Dispensary,,Private,07-01-25,,15
104246-4,Mang'aliza,-7.18298,36.4165,,Dodoma Region,Mpwapwa District,Mpwapwa DC,Ipera,Mang'aliza,Dispensary,,Public,,,
104255-5,Mang'ola Barazani,-3.528448,35.334794,Mang'ola Barazani,Arusha Region,Karatu District,Karatu DC,Mang'ola,Maleckchand,Dispensary,,Public,07-01-02,,10
104256-3,Mang'ola Chini,-3.529032,35.332275,Askofu Hhando,Arusha Region,Karatu District,Karatu DC,Mang'ola,Mang'ola Barazani,Health Center,,Private,07-01-95,2.55769E+11,72
104257-1,Mang'ola Juu,-3.387091,35.499617,Mang'ola Juu,Arusha Region,Karatu District,Karatu DC,Daa,Mang'oli Juu,Dispensary,,Public,01-01-70,,1
104258-9,Mang'ola prison,Not Set,Not Set,Magereza,Arusha Region,Karatu District,Karatu DC,Baray,Jobaj,Dispensary,,Public,07-01-84,,
104260-5,Mang'onyi,-5.23841,34.92113,Mangonyi,Singida Region,Ikungi District,Ikungi DC,Mang'onyi,Mwau,Dispensary,,Public,,,1
112998-0,Mang'onyi Centre,-5.2585,34.93982,Mang'onyi Centre,Singida Region,Ikungi District,Ikungi DC,Mang'onyi,Mang'onyi,Dispensary,,Public,01-01-70,,3
109686-6,Mang'ore,,,Mang'ore,Mara Region,Rorya District,Rorya DC,Koryo,Mang'ore,Dispensary,,Public,01-02-18,,
104262-1,Mang'oto,-9.291237000000001,34.292274,Mang'oto.,Njombe Region,Makete District,Makete DC,Mang`oto,,Dispensary,,Public,10-10-86,,1
104264-7,Mang'ula,-7.83927,36.892655,MANG'ULA,Morogoro Region,Kilombero District,Mlimba DC,Mang'ula,Mang'ula B,Health Center,,Public,10-02-14,,3
114481-5,Mang'ula Modern,-7.864706,36.894396,Dr Msomba,Morogoro Region,Kilombero District,Ifakara TC,Mwaya,Mgudeni,Dispensary,,Private,01-01-70,,4
104239-9,Manga,-1.4983,33.81247,Manga,Mara Region,Musoma District,Musoma MC,Iringo,Iringo 'A',Dispensary,,Private,11-09-99,782946510,6
109274-1,Manga,-4.71901,34.71392,Manga,Singida Region,Singida District,Singida MC,Mtipa,Mtipa,Dispensary,,Public,,,2
104238-1,Manga,-9.71034,34.72853,Manga,Njombe Region,Ludewa District,Ludewa DC,Madilu,,Dispensary,,Public,,622775832,
104241-5,Manga,-5.91084,38.2328,Manga,Tanga Region,Handeni District,Handeni DC,Mkata,Manga,Dispensary,,Public,07-01-70,272641705,4
108678-4,Manga,-8.906969999999999,34.94894,Manga dispensary.,Njombe Region,Njombe District,Makambako TC,Mahongole,Manga,Dispensary,,Public,07-01-63,,1
120454-4,Manga Mtindiro,-4.727295,38.143775,Manga Mtindiro,Tanga Region,Korogwe District,Korogwe DC,Mkomazi,Mangamtindiro,Dispensary,Finishing,Public,01-07-18,,
104243-1,Mangae,-6.9528,37.337229,Mangae,Morogoro Region,Mvomero District,Mvomero DC,Melela,Mangae,Dispensary,,Public,,,4
104244-9,Mangaka,-10.940742,38.379716,Mangaka Hospital,Mtwara Region,Nanyumbu District,Nanyumbu DC,Mangaka,Mangaka,District Hospital,,Public,01-01-70,787184181,52
109155-2,Mangalali,-7.76068,35.56675,Mangalali,Iringa Region,Iringa District,Iringa DC,Ulanda,Mwangalali,Dispensary,,Public,01-01-70,262702828,2
104245-6,Mangalanyene,,,Mangalanyene,Njombe Region,Ludewa District,Ludewa DC,Madope,Mangalanyene,Dispensary,,Public,01-01-70,,
115337-8,Mangamikocheni,,,Mangamikocheni,Tanga Region,Korogwe District,Korogwe DC,Mkomazi,,Dispensary,Foundation,Public,01-01-70,,
115336-0,Mangamtindiro,,,Mangamtindiro,Tanga Region,Korogwe District,Korogwe DC,Mkomazi,,Dispensary,Foundation,Public,08-05-16,,
101101-4,Mangasheny,-3.312107,37.029485,Ngejisosia,Arusha Region,Arumeru District,Meru DC,King'ori,Ngajisosia,Dispensary,,Private,09-06-97,,2
110978-4,Mangawe,-7.40962,35.84229,Mangawe,Iringa Region,Iringa District,Iringa DC,Nyang'oro,Mangawe,Dispensary,,Public,07-01-98,262702828,6
104249-8,Mangio,-3.59889,37.66174,Mangio,Kilimanjaro Region,Mwanga District,Mwanga DC,Mwaniko,Mangio,Dispensary,,Public,01-01-70,,4
104250-6,Mangirikiti,-9.848649999999999,37.87249,Mangirikiti Disp,Lindi Region,Liwale District,Liwale DC,Mangirirkiti,Mangirikiti,Dispensary,,Public,01-01-70,,1
109606-4,Mangisani,-6.815587,39.274318,kwa Dr. Juma,Dar es Salaam Region,Ilala District,Ilala MC,Jangwani,Mtambani,Dispensary,,Private,01-01-14,222185073,4
104251-4,Mango,-11.024803,34.666116,Mango Dispensary,Ruvuma Region,Nyasa District,Nyasa DC,Kihagara,Mango,Dispensary,,Private,,,32
104253-0,Mango,-3.24463,37.29305,,Kilimanjaro Region,Moshi District,Moshi DC,Okaoni,Mloe,Dispensary,,Private,01-01-70,,9
114678-6,Mango Dental,-6.32451,38.5647,Mango,Dar es Salaam Region,Ilala District,Ilala MC,Upanga Magharibi,Mfaume,Basic Dental Clinic,,Private,02-01-16,,
104259-7,Mangombya,-10.4777,39.35102,Mangombya,Mtwara Region,Tandahimba District,Tandahimba DC,Ngunja,Mangombya,Dispensary,,Public,03-02-89,,4
113087-1,Mangonya,,,,Ruvuma Region,Songea District,Songea DC,Wino,,Level IA2 (Dispensary Laboratory),,Private,,,
104261-3,Mangopachanne,-10.454122,39.884102,Mangopachanne,Mtwara Region,Mtwara District,Mtwara DC,,,Dispensary,,Public,,,1
115040-8,Mangu,,,,Shinyanga Region,Kishapu District,Kishapu DC,Shagihilu,Mangu,Dispensary,Foundation,Public,02-02-21,,
114530-9,Manguluma,,,,Mwanza Region,Kwimba District,Kwimba DC,Igongwa,Manguluma,Dispensary,Foundation,Public,,,
104265-4,Mangungu,,,,Tabora Region,Igunga District,Igunga DC,Bukoko,,Dispensary,Foundation,Public,,,
113867-6,Mangwi,-7.80697,39.06185,Mangwi,Pwani Region,Rufiji District,Kibiti DC,Mchukwi,Mangwi,Dispensary,,Public,03-01-20,,4
111183-0,Manienga,,,Zahanati ya Manienga,Mbeya Region,Mbarali District,Mbarali DC,Mawindi,Manienga,Dispensary,,Public,02-01-21,,2
109907-6,Maninga,-8.775439,32.756787,,Songwe Region,Mbozi District,Mbozi DC,Bara,Maninga,Dispensary,Foundation,Public,,,
113386-7,Manji's,-2.518038,32.901261,,Mwanza Region,Nyamagana District,Nyamagana MC,Nyamagana,,Level IA2 (Dispensary Laboratory),,Private,01-01-70,,
112808-1,Manji's Healthcare,,,,Mwanza Region,Nyamagana District,Nyamagana MC,Nyamagana,Nyamagana Mashariki,Poly Clinic,,Private,10-03-18,784913110,
112962-6,Manjulungu,-10.06704,38.930228,Manjulungu laboratory,Lindi Region,Ruangwa District,Ruangwa DC,Nachingwea,Kilimanihewa,Level IA2 (Dispensary Laboratory),,Private,11-01-12,,
104269-6,Manka,-4.17277,37.9175,,Kilimanjaro Region,Same District,Same DC,Mshewa,Manka,Dispensary,,Private,,,
104270-4,Manka,-4.988196,38.410448,MANKA,Tanga Region,Korogwe District,Korogwe DC,Dindira,Manka,Dispensary,,Public,,,2
104271-2,Manoleo,-4.99069,32.9545,MANOLEO,Tabora Region,Tabora District,Tabora MC,Itonjanda,Itonjanda,Dispensary,,Public,,0262604315/6088,
104272-0,Manolo,-4.61938,38.22143,Manolo,Tanga Region,Lushoto District,Lushoto DC,Manolo,Manolo,Dispensary,,Public,01-01-70,,3
104273-8,Manow,-9.258411000000001,33.788768,Manow,Mbeya Region,Rungwe District,Busokelo DC,Kabula,Ndembo,Dispensary,,Private,,,1
114110-0,Mantengu,,,Mantengu,Songwe Region,Mbozi District,Mbozi DC,Vwawa,,Dispensary,Foundation,Public,,,
104274-6,Manu,-3.31547,37.44272,,Kilimanjaro Region,Moshi District,Moshi DC,Kirua Vunjo Magharibi,Manu,Dispensary,,Public,07-01-54,272754957,
104275-3,Manundu,-5.15018,38.45013,,Tanga Region,Korogwe District,Korogwe TC,Manundu,Mbeza,Dispensary,,Private,,-264626,2
108509-1,Manundu Prison,-5.15928,38.45075,Magereza Manundu,Tanga Region,Korogwe District,Korogwe TC,Manundu,Manundu Kati,Dispensary,,Public,,,2
112431-2,Manungu,,,,Dodoma Region,Kongwa District,Kongwa DC,Sejeli,Manungu,Dispensary,,Public,01-01-19,,1
104276-1,Manushi,-3.26602,37.26316,,Kilimanjaro Region,Moshi District,Moshi DC,Kibosho Magharibi,Umbwe Kati,Dispensary,,Public,01-01-70,,4
104277-9,Manyamanyama,-1.97732,33.8588,Manyamanyama,Mara Region,Bunda District,Bunda TC,Manyamanyama,Kati,District Hospital,,Public,01-01-70,737895329,109
104278-7,Manyara,-3.530033,36.0575,Manyara Ranch,Arusha Region,Monduli District,Monduli DC,Makuyuni,Makuyuni,Dispensary,,Public,01-01-70,758334373,2
111949-4,Manyara,-8.75334,32.71177,Manyara,Songwe Region,Mbozi District,Mbozi DC,Nambinzo,,Dispensary,,Public,12-06-17,,4
113679-5,Manyara,,,,Manyara Region,Babati District,Babati DC,Magara,Manyara,Dispensary,Foundation,Public,,,
104279-5,Manyara,-4.21657,35.71661,Manyara,Manyara Region,Babati District,Babati TC,Bagara,Miomboni,Regional Referral Hospital,,Public,04-01-13,027-2510041,58
104280-3,Manyata,-3.26787,37.09407,Manyata,Kilimanjaro Region,Siha District,Siha DC,Biriri,Ngumbaru,Dispensary,,Public,05-03-11,,2
104281-1,Manyata,-6.02185,36.63525,Manyata,Dodoma Region,Kongwa District,Kongwa DC,Ngomai,Manyata,Dispensary,,Public,07-01-13,,2
104282-9,Manyemba,-5.696419,36.17278,Manyemba,Dodoma Region,Chamwino District,Chamwino DC,Dabalo,Manyemba,Dispensary,,Public,04-01-03,,2
114159-7,Manyinga,-6.08203,37.37202,,Morogoro Region,Mvomero District,Mvomero DC,Diongoya,Manyinga,Dispensary,Foundation,Public,,,
111276-2,Manyire,-3.455366,36.803954,,Arusha Region,Arusha District,Arusha DC,Mlangarini,Manyire,Health Center,Foundation,Public,,,
104283-7,Manyire,-3.457352,36.805677,,Arusha Region,Arusha District,Arusha DC,Mlangarini,Manyire,Dispensary,,Public,01-01-70,,2
104284-5,Manyoni,,,Manyoni District Hosp,Singida Region,Manyoni District,Manyoni DC,Manyoni,,District Hospital,,Public,07-01-92,,132
104285-2,Manyoni Modern M.T.C,-5.74836,34.8358,,Singida Region,Manyoni District,Manyoni DC,Manyoni,,Dispensary,,Private,,,
104286-0,Manza,-4.8282,39.1532,Manza,Tanga Region,Mkinga District,Mkinga DC,Manza,,Dispensary,,Public,01-01-70,719623307,2
114536-6,Manza,-7.00613,37.31143,Manza,Morogoro Region,Mvomero District,Mvomero DC,Mlali,Homboza,Dispensary,Foundation,Public,,,
104287-8,Manzase,-6.606497,35.931989,Manzase,Dodoma Region,Chamwino District,Chamwino DC,Manzase,Manzase,Dispensary,,Public,03-08-03,,2
113085-5,Manzese,,,,Ruvuma Region,Songea District,Songea DC,Peramiho,,Level IA2 (Dispensary Laboratory),,Private,,,
111466-9,Manzese,-6.795583,39.226681,Manzese,Dar es Salaam Region,Ubungo District,Ubungo MC,Manzese,Kilimani,Dispensary,,Public,07-05-14,,2
104289-4,Manzeye,-10.95702,34.85598,Manzeye Dispensary,Ruvuma Region,Mbinga District,Mbinga DC,Wukiro,Manzeye,Dispensary,,Public,01-01-70,,2
112798-4,Manzi Optical Care,-6.82769,39.25979,,Dar es Salaam Region,Ilala District,Ilala MC,Ilala,Mafuriko,Optometry Clinic,,Private,04-01-13,654933591,
104290-2,Mao,-8.1472,31.4411,Mao,Rukwa Region,Kalambo District,Kalambo DC,Msanzi,Mao,Dispensary,,Public,01-01-70,752692502,
101247-5,Maore,-4.26844,38.05125,Maore,Kilimanjaro Region,Same District,Same DC,Maore,Mpirani,Dispensary,,Public,,787516700,10
104293-6,Mapamba,-4.1325,32.48428,Mapamba Dispensary,Shinyanga Region,Kahama District,Ushetu DC,Mapamba,Mapamba,Dispensary,,Public,01-01-70,,4
104294-4,Mapanda,-8.42137,35.768,Mapanda,Iringa Region,Mufindi District,Mufindi DC,Mapanda,Mapanda,Dispensary,,Public,07-01-78,,5
104295-1,Maparoni,-8.04749,39.353945,Maparoni,Pwani Region,Rufiji District,Kibiti DC,Maparoni,,Dispensary,,Public,,,1
104296-9,Mapera,-11.05712,34.82404,Mapera HC,Ruvuma Region,Mbinga District,Mbinga DC,Mapera,Mapera,Health Center,,Public,01-01-70,,22
104297-7,Maperamengi,-7.09153,35.67124,Maperamengi,Iringa Region,Iringa District,Iringa DC,Migoli,Maperamengi,Dispensary,,Public,01-01-70,262702828,3
